Subject,Predicate,Object
snow and ice accumulation process,results in formation of anatomical entity,mass of ice and snow
mass of ice and snow,has part,ice mass
mass of ice and snow,formed as result of,snow and ice accumulation process
glacial summer surface,adjacent to,planetary atmosphere
polar tundra ecosystem,overlaps,area of polar tundra
polymetallic nodule ecosystem,part of,sea floor
polymetallic nodule ecosystem,determined by,polymetallic nodule
submarine groundwater discharge process,has part that occurs in,aquifer
groundwater discharge process,has part,groundwater flow
groundwater flow,occurs in,aquifer
groundwater flow,has participant,groundwater
formation of a solid aerosol from liquid material in an atmosphere,has input,liquid environmental material
glaciation of water droplets in a cloud,has part,freezing of water into water ice
glaciation of water droplets in a cloud,occurs in,water-based cloud
glaciation of water droplets in a cloud,has input,water-based cloud droplet
glaciation of water droplets in a cloud,has output,water ice crystal
glaciation,part of,ice age
glaciation,has part,glacial ice gain
interglacial,part of,ice age
interglacial,has part,glacial ice loss
gaseous part of an atmosphere,part of,atmosphere
colloid suspended in a hydrosphere,part of,hydrosphere
suspended colloidal sediment,composed primarily of,colloidal sediment
atmospheric aerosol,part of,atmosphere
aerosol formation process,has part,aerosolised particle formation process
aerosol formation process,has output,aerosol
calving of ice onto land,has participant,planetary landmass
calving of ice into water,has participant,water body
frost action process,has part,freezing of water into water ice
cryoturbation of soil,has participant,soil
cryoturbation of soil,has output,soil cryoturbate
soil cryoturbate,output of,cryoturbation of soil
atmospheric frontal zone,obsolete contains,weather front
mariculture process,occurs in,open cage mariculture facility
mariculture process,has participant,ocean water
open cage mariculture facility,contains process,open cage mariculture process
frontal surface of a weather front,part of,weather front
frontal surface of a weather front,has quality,increased temperature
gaseous front,composed primarily of,gaseous environmental material
weather front,composed primarily of,air
weather front,causal agent in process,atmospheric process
air mass,composed primarily of,air
gaseous surface layer,composed primarily of,gaseous environmental material
bubble,has part,interface layer
mass of environmental material,composed primarily of,environmental material
mass of solid material,composed primarily of,solid environmental material
mass of gas,composed primarily of,gaseous environmental material
mass of liquid,composed primarily of,liquid environmental material
methane gas bubble,composed primarily of,methane
tropical environment,has quality,tropical
subtropical environment,has quality,subtropical
polar environment,has quality,polar
subpolar environment,has quality,subpolar
temperate environment,has quality,temperate
upper air,part of,free atmosphere
upper front,part of,upper air
occluded front,adjacent to,cold front
occluded front,adjacent to,warm front
downslope katabatic wind,has participant,slope
foehn wind,has participant,mountain range
moist-adiabatic process,has part,hydrological condensation process
moist-adiabatic process,has participant,water vapour saturated air
nautical squall,occurs in,marine biome
slope flow,has participant,slope
cooling of a gas,has participant,gaseous environmental material
cooling of a liquid,has participant,liquid environmental material
cooling of a solid,has participant,solid environmental material
cooling of a fluid,has participant,fluid environmental material
warming of a gas,has participant,gaseous environmental material
warming of a liquid,has participant,liquid environmental material
warming of a solid,has participant,solid environmental material
plume,has quality,plume-shaped
mass fluid flow,has participant,fluid environmental material
downburst,has participant,planetary surface
seismic vibration process,occurs in,solid astronomical body part
volcanic seismic vibration,causally downstream of or within,volcanic eruption
impact-driven seismic vibration,causally downstream of or within,impact event
impact event,has part,material transport process
impact event,has part,material transformation process
impact event,has participant,material entity
explosion-driven seismic vibration,causally downstream of or within,explosion process
mass-wasting-driven seismic vibration,causally downstream of or within,mass wasting
collapse-driven seismic vibration,causally downstream of or within,structural collapse process
cave collapse,has participant,cave
earthquake-driven seismic vibration,causally downstream of or within,earthquake
foreshock,precedes,mainshock
aftershock,preceded by,mainshock
blind thrust earthquake,has participant,blind thrust fault
blind thrust fault,located in,subsurface zone of an astronomical body
multiplet tectonic earthquake,has part,mainshock
interplate earthquake,has participant,tectonic plate
intraplate earthquake,has participant,tectonic plate
desert ecosystem,determined by,desert
part of a landmass,part of,planetary landmass
aquatic ecosystem,determined by,water body
freshwater ecosystem,determined by,fresh water body
terrestrial ecosystem,determined by,land
ecosystem process,process has causal agent,ecosystem
organic object,formed as result of,biological_process
organic object,composed primarily of,organic material
hydrothermally-influenced sediment,has part,hydrothermal fluid
human settlement,determined by,human construction
human settlement,determined by,homo sapiens
montane biome,has quality,montane
arid biome,has quality,arid
atmosphere-ocean momentum transfer process,has part,atmospheric wind
atmosphere-ocean momentum transfer process,has participant,ocean
atmosphere-ocean momentum transfer process,has participant,atmosphere
ocean surface stress,characteristic of,atmosphere-ocean momentum transfer process
frost,adjacent to,surface layer
frost,formed as result of,desublimation of water vapour into ice
frost,composed primarily of,water ice crystal
liquid accumulation process,has participant,liquid environmental material
cloud cover,characteristic of,cloud
well intervention,has part,anthropisation
hydraulic fracturing,has participant,fracking liquid
fracking liquid,composed primarily of,liquid water
manure pit,part of,manure storage space
hatchery,has part,agricultural ecosystem
debris flow following rainfall,causally downstream of or within,water-based rainfall
graupel,composed primarily of,rime
hoar crystal,formed as result of,desublimation of water vapour into ice
acidic spring,has characteristic,acidic
montane desert ecosystem,has quality,montane
freshwater lake ecosystem,determined by,freshwater lake
freshwater river ecosystem,determined by,freshwater river
large freshwater river delta ecosystem,determined by,delta
large freshwater river headwater ecosystem,determined by,headwater
flooded savanna,has part,wet soil
